Title,Image,Description,Category,Ingredients,Instructions,Time to cook,Servings,Energy,Protein,Carbohydrates,Fat
Rika riddare med smörstekta äpplen och vanilj,"https://images.arla.com/recordid/4E11F6AA-97B4-419B-BEB6BF32AE35CFB9/rika-riddare-med-appelsalsa-och-kardemummagradde.jpg?width=375&height=265&mode=crop&crop=(278,0,0,0)&format=jpg",En snabblagad och smarrig efterrätt. Perfekt sätt att ta tillvara på gårdagens vetebröd.,"Brunch, Efterrätt",Svenskt Smör från Arla®: 2 msk | Syrliga äpplen: 2 | Malen kanel: ½ tsk | Strösocker: 1 msk | Arla Ko® Standardmjölk: 2 dl | Ägg: 2 | Kanelbullar: 2 | Dreamy Dessert Kesella® Dessertkvarg vanilj: 2 dl,"Klyfta äpplena och stek dem i smör med kanel och socker 3-4 min .Lägg över i en skål., Vispa ihop mjölk och ägg i en skål. Halvera bullarna och lägg ner i skålen. Låt ligga några minuter., Hetta upp smör i stekpannan och stek bullarna gyllenbruna., Servera nystekta riddare med äpple och kvarg vanilj.",20 min,4,800 kcal,18 g,88 g,42 g
Enkel pannacotta,https://images.arla.com/recordid/68D75180-68AF-40CE-AC5A452435EC00DC/enkel-pannacotta.jpg?width=375&height=265&mode=crop&format=jpg,"Recept på enkel och klassisk pannacotta, gjord av grädde och fräsch matyoghurt.",Efterrätt,Arla Ko® Vispgrädde: 3 dl | Gelatinblad: 2 | Rårörsocker: ½ dl | Arla Köket® Turkisk yoghurt: 1 dl,"Låt gelatinbladen ligga i kallt vatten ca 5 min., Koka upp grädde och socker i en kastrull. Ta kastrullen från plattan., Lyft upp gelatinbladen och lägg ner dem i grädden. Rör tills de smält. Rör ner yoghurten., Häll smeten i vattensköljda portionsformar. Låt stelna i kyl minst 3 tim., Stjälp upp eller servera direkt ur formarna.",3 tim,4,365 kcal,5 g,14 g,33 g
Cheesecake med hallon,https://images.arla.com/recordid/F080C2BB-6A38-4DA9-B84A9FA1B61351EE/cheesecake-med-hallon.jpg?width=375&height=265&mode=crop&format=jpg,Underbart god cheesecake med en fyllning av ägg och kvarg med smak av hallon. Denna cheesecake går snabbt och enkelt att svänga ihop till oväntade gäster.,"Buffé, Efterrätt",Digestivekex: 10 | Svenskt Smör från Arla®: 75 g | Dreamy Dessert Kesella® Dessertkvarg hallon: 500 g | Äggulor: 3,"Sätt ugnen på 175° eller 160° varmluft., Hacka samman kex och smör i en matberedare. Tryck ut det i en form med löstagbar kant ca 23 cm i diameter., Rör samman kvarg och äggulor till en jämn smet. Bred ut smeten i formen., Grädda i nedre delen av ugnen ca 20 min., Garnera med hallon vid servering.",30 min,4,275 kcal,7 g,13 g,26 g
Röd linsgryta,https://images.arla.com/recordid/B1CD1ACC-5C82-4A25-8009E90C6F862A45/rod-linsgryta.jpg?width=375&height=265&mode=crop&format=jpg,"Det här är en lättlagad och mättande linsgryta som passar perfekt att bjuda på när du vill ha något krämigt och smakrikt. Det blir underbart gott att toppa linsgrytan med smulad vitost, krispiga nötter och aromatisk koriander!","Huvudrätt, Matlåda, Middag","Gul lök: 1 | Vitlöksklyftor: 2 | Färsk ingefära: 50 g | Morot: 250 g | Arla Köket® Smör- & rapsolja: 2 msk | Torkade röda linser: 2 dl | Krossade tomater: 400 g | Vatten: 1 dl | Arla Köket® Matlagningsgrädde: 5 dl | Grönsaksbuljong: 3 tärningar | Malen spiskummin: 1 tsk | Lime, pressad saft: 1 | Salt:  | Kokt ris: 4 port | Cocktailtomater: 250 g | Apetina® Vitost 20%: 150 g | Färsk koriander: 1 kruka | Rostade cashewnötter: 1 dl","Skala och finhacka lök och vitlök. Skala och finriv ingefäran. Skala och tärna moroten., Hetta upp smör- & rapsolja i en stekgryta eller rymlig kastrull. Fräs lök, vitlök, ingefära och morot 3-4 min., Skölj linserna i kallt vatten. Rör ner linser, tomater, vatten, grädde, smulad buljong och spiskummin i grytan. Låt sjuda tills linserna är mjuka, ca 20 min. Rör om då och då., Koka riset enligt anvisning på förpackningen., Rör ner limesaft i linsgrytan och smaka av med salt., Toppa linsgrytan med klyftade tomater, smulad vitost, grovhackad koriander och cashewnötter., Servera röd linsgryta med nykokt ris.",50 min,4,,,,
Fiskbiffar med tomatraita,https://images.arla.com/recordid/7B81C9D8-A8C2-43E4-A814EC91B2BBC78D/fiskbiffar-med-tomatraita.jpg?width=375&height=265&mode=crop&format=jpg,Laga fisk på nytt sätt och servera med en raita som är obligatorisk på ett indiskt middagsbord.,"Huvudrätt, Lunch, Middag",Laxfilé: 500 g | Finhackad vitlöksklyfta: 1 | Finhackad purjolök: ½ dl | Salt: 1 tsk | Sambal oelek: 1 tsk | Riven färsk ingefära: 1 tsk | Spicy garam masala: ½ tsk | Citron: rivet skal av ½ | Potatismjöl: 1 msk | Arla Köket® Turkisk yoghurt: ½ dl | Svenskt Smör från Arla®: 1 msk | Tomat: 1 | Arla Köket® Turkisk yoghurt: 1½ dl | Vitlöksklyfta: 1 | Malen spiskummin: ½ tsk | Salt: ½ tsk | Ris: 3 dl | Röd paprika: 1 | Babyspenat: 65 g,"Börja med att koka riset enligt anvisning på förpackningen., Finhacka laxen eller mixa den grovt. Blanda laxen med vitlök och purjolök., Tillsätt salt, sambal oelek, ingefära, garam masala, citronskal, mjöl och yoghurt. Blanda till en jämn färs., Forma färsen till små biffar och stek dem i smör i en stekpanna ca 2 min på varje sida., Hacka tomaten. Blanda alla ingredienser till raitan., Ansa och skär paprikan i små bitar. Fräs paprika och spenat och blanda det nykokta riset., Servera biffarna med raita och ris.",30 min,4,560 kcal,31 g,54 g,24 g
Pasta med ädelostsås,"https://images.arla.com/recordid/7AFFCB35-986D-4D75-97A20D0ED9E95444/pasta-med-adelostsas.jpg?width=375&height=265&mode=crop&crop=(139,0,-139,0)&format=jpg",Supersnabb pastarätt med smak av ädelost. En sallad till blir en härlig middag.,"Huvudrätt, Kvällsmat, Lunch, Middag",Pasta: 300 g | Kelda® Mellangrädde: 2½ dl | Kvibille® Ädel: 140 g | Svartpeppar:  | Färsk oregano: ,"Koka pastan enligt anvisningarna på förpackningen., Värm grädden i en kastrull. Smula ner ädelosten och låt den smälta under omrörning., Blanda såsen med pastan och smaka av med lite nymalen svartpeppar. Toppa ev med lite oregano och servera med en sallad.",15 min,4,560 kcal,19 g,56 g,28 g
Apelsin- och citronmarmelad,https://images.arla.com/recordid/0D0A2812-B108-4B11-99C0B2A211C0262B/apelsin--och-citronmarmelad.jpg?width=375&height=265&mode=crop&format=jpg,"Lite sötsura toner i marmeladen är gott till både hårda och mjuka ostar på ostbrickan. Gör en extra burk och ta med på kalas, garanterat succé.",,Apelsiner ca 400 g: 4 | Citron ca 100 g: 1 | Strösocker: 6 dl | Äppelmust: 1½ dl | Apelsinlikör: ½ dl | Kvibille® Cheddar krämig lagrad:  | Kvibille® Ädel:  | Kvibille® Cheddar: ,"Tvätta citrusfrukterna och lägg dem i en rymlig kastrull, täck med vatten. Låt koka på svag värme ca 1 tim., Låt svalna något och skär citrusfrukterna i små bitar. Lägg tillbaka i en kastrullen., Tillsätt övriga ingredienser och koka ca 1 tim tills marmeladen har en temperatur på 105°., Fyll marmeladen i rena burkar, sätt på locket och låt kallna., Servera gärna till ost.",2 tim,4,2495 kcal,5 g,585 g,1 g
Risgrynsgröt i ugn,https://images.arla.com/recordid/AE45AC07-CFEA-4995-8C3EBAF080179B5C/risgrynsgrot-i-ugn.jpg?width=375&height=265&mode=crop&format=jpg,"Att laga risgrynsgröt i ugnen är väldigt smidigt. Den sköter sig själv och risken att den bränns vid är minimal, plus att du hinner fixa med massa annat! Risgrynsgröt ska serveras med kall mjölk, malen kanel och socker. Om du får gröt över kan du alltid unna dig Ris à la Malta.","Frukost, Lunch, Mellanmål",Rundkornigt ris: 2½ dl | Vatten: 3 dl | Svenskt Smör från Arla®: 2 msk | Salt: 1 krm | Arla Ko® Standardmjölk: 6 dl | Kanelstänger: 2 | Strösocker: 1 msk | Arla Ko® Standardmjölk: 4 dl | Strösocker:  | Malen kanel: ,"Sätt ugnen på 125 ° eller 120° varmluft., Blanda ris, vatten, smör och salt i en stor tjockbottnad kastrull som tål ugnsvärme. Låt koka på spisen under lock på svag värme ca 10 min., Koka upp mjölk, kanelstänger och socker i en separat kastrull. Blanda ner den varma kanelmjölken i riset., Sätt in kastrullen med locket på i ugnen ca 60 min eller tills riset är helt klart. Späd med mer mjölk om gröten blir för tjock., Ta ut kastrullen och blanda runt i gröten. Låt stå en stund innan den serveras med mjölk, socker och malen kanel.",1 tim,4,,,,
Thaisoppa med nudlar och kyckling,"https://images.arla.com/recordid/F76F3414-9210-4636-9FD422D9A90A0985/thaisoppa-med-nudlar-och-kyckling.jpg?width=375&height=265&mode=crop&crop=(43,0,-235,0)&format=jpg","Vi har inspirerats av Tom kha gai. Ät gärna med pinnar och drick ur skålen, som i Thailand.","Huvudrätt, Kvällsmat, Lunch, Middag, Varmrätt",Kelda® Thaisoppa: 5 dl | Risnudlar eller glasnudlar: 20 g | Grillad kyckling: 250 g | Purjolök: ½ | Färsk koriander: ½ kruka,"Koka upp soppan under omrörning i en kastrull. Bryt sönder nudlarna och koka dem i soppan 2–3 min., Ta bort skinn och ben på kycklingen och skär den i bitar. Strimla purjolöken. Lägg ner det i soppan., Häll upp i skålar och strö över koriander.",15 min,4,350 kcal,22 g,33 g,16 g
Halloumipasta,"https://images.arla.com/recordid/2AF02E15-4D41-4D7E-B5373FBE444B6C5A/halloumipasta.jpg?width=375&height=265&mode=crop&crop=(0,0,-278,0)&format=jpg","En frisk och smakrik halloumipasta med spenat och citron. Här river vi den goda salta osten och blandar till en sås med crème fraiche, citron, spenat och färsk basilika. Kom ihåg att det är gästena som ska vänta på pastan - inte tvärtom!","Huvudrätt, Lunch, Middag","Pasta penne, gärna fullkorn: 360 g | Halloumi: 200 g | Arla Köket® Crème fraiche: 2 dl | Citron, finrivet skal och saft: 1 | Babyspenat eller rucola: 70 g | Vatten från pastakoket: 1 dl | Äggulor: 2 | Salt och svartpeppar:  | Färsk basilika: 1 kruka","Koka pastan al dente enligt anvisning på förpackningen., Grovriv osten. Lägg i en traktörpanna eller rymlig stekpanna. Tillsätt crème fraiche, citron, spenat och pastavatten. Låt allt bli varmt., Vänd ner avrunnen pasta och äggulor. Blanda väl och smaka av med salt och nymalen svartpeppar., Toppa halloumipastan med grovhackad basilika. Servera direkt.",30 min,4,,,,
Långbakad kyckling i ugn med chilikräm och svarta bönor,https://images.arla.com/recordid/04E5570A-5670-4185-8FD9CEB5964CA9C4/langbakad-kyckling-i-ugn-med-chilikram-och-svarta-bonor.jpg?width=375&height=265&mode=crop&format=jpg,Kokta bönor på burk är snabbt och smidigt att ha hemma på lager. Här får de gott sällskap av en kyckling med sting och frisk fläktar av mango.,"Huvudrätt, Middag","Hel kyckling, ca 1,3 kg: 1 | Salt: 1 tsk | Svartpeppar: 2 krm | Svenskt Smör från Arla®: 2 msk | Chipotlepasta: 2 msk | Arla Köket® Turkisk yoghurt 200 g: 2 dl | Chipotlepasta: 2 msk | Flytande honung: 1 tsk | Gul lök: 1 | Vitlöksklyftor: 2 | Svenskt Smör från Arla®: 2 msk | Svarta bönor, ca 400 g: 1 burk | Mango: 1 | Ärtskott: 40 g","Sätt ugnen på 150° eller 135° varmluft., Salta och peppra kycklingen runtom. Lägg den i en ugnssäker form och tillaga i mitten av ugnen ca 1 ½ tim,  till en innertemperatur på ca 80°., Smält smöret, blanda det med chilipastan och pensla kycklingen runtom. Fortsätt tillaga ca 10 min., Rör ihop ingredienserna till chilikrämen., Skala, hacka och fräs lök och vitlök i smöret i en stekpanna., Skölj bönorna och låt rinna av. Tillsätt bönorna och värm tills de är varma., Skala och dela mangon. Skär bort kärnan och skär fruktköttet i klyftor. Grilla dem i en grillpanna., Skär kycklingen i 4 delar och servera med chilikräm, bönor, mango och ärtskott.",2 tim,4,630 kcal,46 g,26 g,37 g
Couscoussallad med äpple och ost,https://images.arla.com/recordid/F0F9EC1E-161E-4DDB-A407B998A9A8E9F5/couscoussallad-med-apple-och-ost.jpg?width=375&height=265&mode=crop&format=jpg,"Härlig couscoussallad med frisk och välgörande smakkombination av äpple, vit smulig ost och soltorkade tomater.","Huvudrätt, Kvällsmat, Lunch, Middag",Grönsaksbuljong: 4 dl | Svenskt Smör från Arla®: 50 g | Couscous: 4 dl | Salt: ½ tsk | Äpplen: 2 | Rödlök: 1 | Apetina® Vitost 20%: 200 g | Rucola eller annan sallad: 1 kruka | Arla Ko® Gräddfil: 2 dl | Hackade soltorkade tomater i olja: 50 g,"Koka upp buljong och smör. Rör ner coucousgrynen och låt det koka upp., Lägg på locket, ta det från plattan och låt det svälla i 6 min., Rör grynen fluffiga och smaksätt med salt. Låt grynen svalna., Kärna ur äpplena och skala löken. Dela och skiva dem., Grovhacka ost och sallad. Blanda allt med coucousen., Blanda gräddfilen med tomaterna. Servera såsen till salladen.",30 min,4,,,,
Texmex omelett,https://images.arla.com/recordid/E4539900-6B16-47F9-A60BD7E7F13F4DAF/texmex-omelett.jpg?width=375&height=265&mode=crop&format=jpg,En matig omelett som du lagar direkt i stekpannan är den perfekta maten för en vardagskväll. Toppa gärna med cottage cheese smaksatt med rökt chili.,"Brunch, Huvudrätt, Kvällsmat, Lunch, Middag",Zucchini: 150 g | Liten rödlök: 1 | Svenskt Smör från Arla®:  | Ägg: 4 | Vatten: ½ dl | Salt: 1 tsk | Svartpeppar: 1 krm | Tomat: 1 | Arla Köket® Riven ost texmex: 2 dl | KESO® Cottage cheese: 1½ dl | Chipotlepasta: 1 tsk,"Skär zucchinin i skivor, skala och strimla löken. Fräs zucchini och lök i smör i en stekpanna., Vispa ihop ägg, vatten, salt och peppar., Häll äggsmeten över grönsakerna och stek på låg värme tills omeletten börjar stelna., Skär tomaten i skivor. Lägg på ost, tomat och cottage cheese blandad med chipotlepasta. Låt det bli varmt. Servera med bröd.",15 min,4,,,,
Ostsallad med smultron,https://images.arla.com/recordid/71CB1999-992E-4605-A075C95F09861B40/ostsallad-med-smultron.jpg?width=375&height=265&mode=crop&format=jpg,"Festlig sallad med ost och ljuvliga smultron - knaprigt, sött och salt! Perfekt sallad till lunch eller som tillbehör till grillat eller stekt kött eller kyckling.","Kvällsmat, Lunch",Halloumi: 1 förp | Sockerärter: 150 g | Knippe rädisa: 1 | Färsk lök: ½ | Blandad sallad: 1 liter | Svenskt Smör från Arla®: 2 msk | Citron: pressad saft av ½ | Honung: 1 msk,"Koka sockerärterna i lättsaltat vatten 1 min. Kyl dem i kallt vatten och skär dem på längden., Skiva rädisor och lök. Blanda sallad, sockerärter, rädisor och lök på ett fat., Skär osten i bitar och stek dem i smör i en stekpanna ca 4 min. Vänd några gånger under tiden., Tillsätt citronsaft och honung. Rör om och häll det över salladen. Strö över smultron.",20 min,4,340 kcal,18 g,11 g,24 g
Frittata i airfryer,"https://images.arla.com/recordid/BC2E2324-F85C-4E69-A4523EC3791C3897/frittata-i-airfryer.jpg?width=375&height=265&mode=crop&crop=(163,0,-115,0)&format=jpg","Frittata är en matig omelett som går utmärkt att tillaga i airfryer. När du lagar frittata är det är ett perfekt tillfälle att ta tillvara på matrester för att minska matsvinnet. Grunden är att vispa ihop 6 ägg med 1 dl vätska. Sedan kan du lägga till skurna grönsaker, skivad kokt potatis, bacon, kycklingbitar, riven ost och örter. Bara fantasin sätter gränser.","Brunch, Frukost, Lunch, Mellanmål",Ägg: 6 | Arla Ko® Syrad grädde: 1 dl | Kvibille® Riven ost cheddar: 150 g | Babyspenat: 100 g | Salt: ½ tsk | Svartpeppar: ,"Vispa ihop ägg, syrad grädde, riven ost och spenat. Salta och peppra., Tryck ner bakplåtspapper i airfryerns korg. Häll ner äggsmeten och tillaga på 180° ca 10 min, eller tills frittatan stannat., Servera frittatan direkt!",15 min,4,330 kcal,20 g,1 g,27 g
Ostpasta med valnötter,https://images.arla.com/recordid/3F86DDA5-BBD7-400C-84DF687A70A12280/ostpasta-med-valnotter.jpg?width=375&height=265&mode=crop&format=jpg,När man kokar pastan och morötterna knappt färdiga får man ett lägre GI.,"Huvudrätt, Lunch, Middag",Morot: 300 g | Purjolök: 350 g | Fullkornspasta: 200 g | Vitlöksklyftor: 2 | Svenskt Smör från Arla®:  | Arla Köket® Vispgrädde: 2 dl | Salt: ¾ tsk | Svartpeppar: 1 krm | Kvibille® Riven ost cheddar: 2 dl | Grovhackade valnötter: 1 dl,"Skala morötterna och strimla dem sedan med potatisskalare. Skär purjolöken i långa strimlor. Skala och hacka vitlöken., Koka pastan al dente, lägg i morötter och purjolök när det återstår ½  min av koktiden., Fräs vitlöken i en kastrull. Häll på grädden och låt den koka ihop någon minut. Rör i salt, peppar, ost och nötter., Servera såsen till pastan.",20 min,4,560 kcal,15 g,48 g,34 g
Kycklinglasagne,"https://images.arla.com/recordid/4495A4B2-8093-49E8-B0A096F9E99C9845/kycklinglasagne.jpg?width=375&height=265&mode=crop&crop=(0,0,-381,0)&format=jpg","Detta recept på kycklinglasagne är lättlagat och smakrikt för hela familjen. En mustig och gräddig sås med kyckling, champinjoner och purjolök varvas mellan lasagneplattor och riven mozzarella. Skönt att slippa laga två olika såser, här kör vi allt i ett! Servera med en krispig blandad grönsallad.","Huvudrätt, Lunch",Kycklingbröstfilé: 600 g | Champinjoner: 250 g | Purjolök: 1 | Vitlöksklyftor: 4 | Arla Köket® Smör- & rapsolja: 2 msk | Tomatpuré: 2 msk | Torkad rosmarin: 2 tsk | Sambal oelek: 1 msk | Konserverade körsbärstomater: 400 g | Arla Köket® Matlagningsgrädde: 5 dl | Kycklingbuljong: 1 tärning | Arla® Familjefavoriter Mozzarella: 150 g | Färsk basilika: 1 kruka | Salt och svartpeppar:  | Lasagneplattor: ca 10 | Blandad grönsallad: ,"Sätt ugnen på 225° eller 210° varmluft., Skär kycklingen i mindre bitar. Kvarta svampen. Strimla purjolöken och skiva vitlöken., Hetta upp smör-&rapsolja i en stekgryta. Fräs kycklingen tills den fått fin färg. Tillsätt svamp, purjolök, vitlök, tomatpuré, torkad rosmarin och sambal oelek. Fräs ytterligare 4-5 min., Häll på tomater och grädde. Smula ner buljongtärningen. Koka 5-6 min. Smaka av med salt och nymalen svartpeppar., Rör ner hälften av osten och grovhackad basilika., Varva kycklingsås med lasagneplattor i en smord ugnsform ca 20x30 cm. Strö över resterande ost. Grädda mitt i ugnen ca 25 min., Servera kycklinglasagnen med grönsallad.",1 tim,4,,,,
Vit julsallad med matyoghurt,https://images.arla.com/recordid/A1427066-2813-4A5A-95D9ADF41DE7DF24/vit-julsallad-med-matyoghurt.jpg?width=375&height=265&mode=crop&format=jpg,En väl avvägd blandning med enkla ingredienser. Räkna med en krispig favoritsallad.,"Brunch, Buffé","Vitkål: 200 g | Strösocker: 2 msk | Vitvinsvinäger: 2 msk | Arla Köket® Turkisk yoghurt: 2 dl | Salt och peppar:  | Russin, gärna gula: ½ dl | Hackade valnötter: ½ dl","Strimla vitkålen fint. Blanda den med socker och vinäger och låt marinera några timmar eller över natten., Häll av marinaden och blanda kålen med yoghurt., Smaka av med salt och peppar och rör ner russin och nötter.",2 tim 15 min,4,150 kcal,3 g,16 g,8 g
Tandoorimarinad,https://images.arla.com/recordid/9FAA39EA-ABA4-4FCD-9E7F22CC2F9355D8/tandoorimarinad.jpg?width=375&height=265&mode=crop&format=jpg,Tandoori är både en indisk grill och en kryddblandning. Blandade med yoghurt blir kryddorna en god och smakrik marinad till både kyckling och lax. Passar bra att servera med en raita.,,Arla Köket® Turkisk yoghurt 200 g: 2 dl | Indian tandoori: 1½ msk | Pressad vitlöksklyfta: 1 | Hackad färsk mynta: 1 dl | Riven färsk ingefära: 1 msk | Salt: 1 tsk,"Rör ihop alla ingredienser till marinaden., Lägg kött eller kyckling i en plastpåse och häll på marinaden., Låt marinera minst 2 tim. Vänd efter halva tiden.",10 min,4,,,,
Grahamsgröt,"https://images.arla.com/recordid/4912668E-1E8A-48A9-9A9301D00335A8C9/grahamsgrot.jpg?width=375&height=265&mode=crop&crop=(0,0,-278,0)&format=jpg","En god och mättande gröt gjord på grahamsgryn och mjölk. Gröten påminner lite om mannagrynsgröt i konsistensen och avnjutes allra bäst med skivad banan, extra kanel, lönnsirap, blåbär och mjölk.","Brunch, Frukost, Mellanmål",Arla Ko® Lättmjölk: 4 dl | Kanelstång: 1 | Salt: 1 krm | Grahamsgryn: 4 msk | Bananer: 2 | Blåbär: 2 dl | Arla Ko® Lättmjölk: 4 dl | Malen kanel: 1 tsk | Lönnsirap: ev. 2 msk,"Koka upp mjölk, kanelstång och salt. Rör ner grahamsgrynen och rör till en jämn gröt., Toppa med grahamsgröten med skivad banan och blåbär. Servera med mjölk och kanel. Ringla över lite lönnsirap om du önskar.",10 min,4,145 kcal,8 g,18 g,3 g
Päronsalsa med vanilj,https://images.arla.com/recordid/5CE99712-88F8-4CF5-B5716858F417F886/vaniljparonsalsa.jpg?width=375&height=265&mode=crop&format=jpg,"Päron är ju en klassisk smakkompis på ostbrickan. Här i formen av söt päronsalsa på vitt vin, honung och russin som är ett fantastiskt tillbehör till goda ostar.","Buffé, Dessert",Vitt vin: 1½ dl | Honung: ¾ dl | Ljusa russin: ¾ dl | Vaniljstång: ½ | Fasta päron: 3,"Häll vinet i en kastrull. Tillsätt honung och russin., Dela vaniljstången och skrapa ur fröna. Lägg allt i kastrullen. Koka upp och låt koka utan lock tills det blir simmigt., Skala, kärna ur och skär päronen i tärningar ca 2x2 cm. Vänd ner dem och låt koka tills de är mjuka och nästan all vätska är borta., Låt kallna. Förvara i kyl.",20 min,4,165 kcal,1 g,15 g,10 g
Potatisfondant,https://images.arla.com/recordid/0A924721-4807-4DE5-A11346ED6F1CE3DD/potatisfondant.jpg?width=375&height=265&mode=crop&format=jpg,Potatisfondant är potatis som är skuren i cylindrar och tillagad med smör och fond. Ett mycket gott och lyxigt sätt att tillaga potatis på. Passar utmärkt att servera till en bit kött eller kyckling!,Huvudrätt,"Stora potatisar: 8 | Rapsolja, till stekning: 2 msk | Färsk timjan: 5 kvistar | Svenskt Smör från Arla®, till stekning: 2 msk | Salt och svartpeppar:  | Vatten: 2 dl | Kyckling- eller kalvfond: 1 msk","Värm ugnen till 225°., Skala potatisarna och skär av ändarna så de kan stå upp. Dela potatisarna på mitten., Låt potatisarna ligga i kallt vatten ca 5 min. Häll av vattnet och lägg upp potatisen på en ren handduk. Torka potatisen helt torr., Värm en ugnstålig stekpanna med lock. Häll i rapsoljan och stek potatisarna på båda sidor till fin färg., Lägg med örtkvistarna mot slutet av stekningen. Klicka i smöret, salta och peppra., Häll på vattnet blandat med fonden. Låt koka upp och lägg på locket. Ställ in i ugnen och låt stå ca 30 min. Ta av locket de sista 10 min. Späd ev med vatten om det blir för torrt i pannan.",1 tim,4,292 kcal,4 g,37 g,13 g
Hummus,"https://images.arla.com/recordid/21B058E5-C9CC-4DA0-A113340E387AC1CB/hummus.jpg?width=375&height=265&mode=crop&crop=(163,0,-115,0)&format=jpg","Hummus är en underbart god kikärströra. Den ska göras med ljus tahini och endast smaksättas med pressad citron och vitlök. Det går utmärkt att göra hummus på färdigkokta kikärtor, men om du kokar dina egna kikärtor får du en extra len och krämig hummus. Ringla kallpressad olivolja över hummusen precis innan servering. Detta är det perfekta tillbehöret till shakshuka!",Buffé,"Kokta kikärter, à ca 400 g: 1 förp | Ljus tahini: 1 dl | Vitlöksklyfta: 1 | Citron, pressad saft: 1 | Vatten: ½ dl | Salt: 1 tsk | Pitabröd eller libabröd: 4","Skölj kikärterna och låt dem rinna av., Häll ljus tahini i en matberedare. Tillsätt skalad och skivad vitlök, pressad saft av citronen och vatten. Mixa ihop till ett tahinifluff., Tillsätt kikärtorna och mixa länge till en riktigt slät och krämig hummus. Smaka av med salt., Lägg upp hummusen i en djup tallrik. Bred ut hummusen i en cirkelsrörelse med en sked. Ringla över olivolja precis innan servering., Njut av hummusen med pitabröd.",15 min,4,,,,
Pizza med ost och nötter,https://images.arla.com/recordid/0E78537B-536A-4A3C-A665F2811F12A128/pizza-med-ost-och-notter.jpg?width=375&height=265&mode=crop&format=jpg,"Vegopizza med kvarg istället för tomatsås. Toppad med knapriga nötter, granatäppelkärnor och rucola.","Huvudrätt, Lunch, Middag, Snabbmat",Pizzadeg ca 400 g: 1 | Arla Köket Kesella® Kvarg: 250 g | Arla Köket® Riven ost pizza: 150 g | Grovhackade blandade salta nötter: 2 dl | Rucola: 30 g | Granatäppelkärnor: 1 dl,"Sätt ugnen på 225° eller 200° varmluft., Rulla ut degen med bakplåtspapper på en plåt. Bred ut kvarg över pizzabotten och strö över ost och nötter., Grädda i mitten av ugnen 10–15 min. Toppa med rucola och granatäppelkärnor.",30 min,4,735 kcal,34 g,59 g,40 g
Älgskavspanna med kantareller,https://images.arla.com/recordid/6562DBF1-B46A-47B6-8CE4ADC7B21D2EFD/algskavspanna-med-kantareller.jpg?width=375&height=265&mode=crop&format=jpg,En mustig panna till middag med älgskav och kantareller. Du kan byta älgskav mot vilt- eller renskav - det blir lika gott!,"Huvudrätt, Lunch, Middag","Älgskav, 480 g: 2 förp | Färska kantareller: 150 g | Purjolök, ca 200 g: 1 | Arla Köket® Smör- & rapsolja: 1 msk | Kelda® Mellangrädde: 2½ dl | Lingonsylt: 2 msk | Torkad timjan: 1 tsk | Kött- och viltfond: 1 msk | Majsstärkelse: ½ msk | Potatis: 750 g | Blandad grönsallad: 65 g","Börja med att skala och koka potatisen., Stek älgskaven i smör-&rapsolja i en stekpanna tills den får färg., Ansa svampen och dela de stora i bitar. Strimla purjolöken., Rör ner svamp och purjolök och låt det fräsa med några min., Tillsätt grädde, sylt, timjan, fond och majsstärkelsen utrörd i lite vatten. Rör om och koka ca 2 min., Servera med potatis och sallad.",35 min,4,510 kcal,30 g,34 g,27 g
Räksallad med Rhode Island,https://images.arla.com/recordid/A6A06ECA-FB29-4724-86DD880AF7D5848D/raksallad-med-rhode-island.jpeg?width=375&height=265&mode=crop&format=jpeg,En riktigt generös lunchsallad där det är värt besväret att handskala räkorna!,"Huvudrätt, Kvällsmat, Lunch, Middag",Räkor med skal: 1 kg | Lök: 1 | Avokados: 2 | Gurka: ½ | Pressad citron: 1 msk | Flingsalt: ½ tsk | Svartpeppar: 1 krm | Blandad grönsallad: 80 g | Dillvippor:  | Arla Ko® Gräddfil: 2 dl | Chilisås av ketchuptyp: ½ dl | Sötstark senap: 3 krm | Salt: 1 krm,"Skala räkorna. Skala och skiva löken. Dela och kärna ur avokadon. Ta ur fruktköttet i bitar med en tesked. Skär gurkan i bitar., Blanda lök, avokado, gurka, citronsaft, salt och peppar. Rör ihop ingredienserna till såsen. Lägg salladen på ett stort fat., Lägg på grönsakerna och toppa med räkor och dill. Servera med såsen.",,4,300 kcal,22 g,12 g,18 g
